Fact	Fact Note	"Davis city, California"	"Value Note for Davis city, California"
"Population estimates, July 1, 2017,  (V2017)"			Not available
"Population estimates, July 1, 2016,  (V2016)"		"68,111"	
"Population estimates base, April 1, 2010,  (V2017)"			Not available
"Population estimates base, April 1, 2010,  (V2016)"		"65,636"	
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2017,  (V2017)"			Not available
"Population, percent change - April 1, 2010 (estimates base) to July 1, 2016,  (V2016)"		3.80%	
"Population, Census, April 1, 2010"		"65,622"	
"Persons under 5 years, percent, July 1, 2016,  (V2016)"			Not applicable
"Persons under 5 years, percent, April 1, 2010"		3.70%	
"Persons under 18 years, percent, July 1, 2016,  (V2016)"			Not applicable
"Persons under 18 years, percent, April 1, 2010"		16.40%	
"Persons 65 years and over, percent,  July 1, 2016,  (V2016)"			Not applicable
"Persons 65 years and over, percent, April 1, 2010"		8.50%	
"Female persons, percent,  July 1, 2016,  (V2016)"			Not applicable
"Female persons, percent, April 1, 2010"		52.50%	
"White alone, percent, July 1, 2016,  (V2016)"	Includes persons reporting only one race		Not applicable
"Black or African American alone, percent, July 1, 2016,  (V2016)"	Includes persons reporting only one race		Not applicable
"American Indian and Alaska Native alone, percent, July 1, 2016,  (V2016)"	Includes persons reporting only one race		Not applicable
"Asian alone, percent, July 1, 2016,  (V2016)"	Includes persons reporting only one race		Not applicable
"Native Hawaiian and Other Pacific Islander alone, percent, July 1, 2016,  (V2016)"	Includes persons reporting only one race		Not applicable
"Two or More Races, percent, July 1, 2016,  (V2016)"			Not applicable
"Hispanic or Latino, percent, July 1, 2016,  (V2016)"	"Hispanics may be of any race, so also are included in applicable race categories"		Not applicable
"White alone, not Hispanic or Latino, percent, July 1, 2016,  (V2016)"			Not applicable
"Veterans, 2012-2016"		"2,074"	
"Foreign born persons, percent, 2012-2016"		19.80%	
"Housing units,  July 1, 2016,  (V2016)"			Not applicable
"Housing units, April 1, 2010"		"25,869"	
"Owner-occupied housing unit rate, 2012-2016"		42.30%	
"Median value of owner-occupied housing units, 2012-2016"		"$565,700 "	
"Median selected monthly owner costs -with a mortgage, 2012-2016"		"$2,415 "	
"Median selected monthly owner costs -without a mortgage, 2012-2016"		$610 	
"Median gross rent, 2012-2016"		"$1,291 "	
"Building permits, 2016"			Not applicable
"Households, 2012-2016"		"24,675"	
"Persons per household, 2012-2016"		2.63	
"Living in same house 1 year ago, percent of persons age 1 year+, 2012-2016"		66.50%	
"Language other than English spoken at home, percent of persons age 5 years+, 2012-2016"		30.00%	
"High school graduate or higher, percent of persons age 25 years+, 2012-2016"		96.50%	
"Bachelor's degree or higher, percent of persons age 25 years+, 2012-2016"		73.20%	
"With a disability, under age 65 years, percent, 2012-2016"		3.80%	
"Persons  without health insurance, under age 65 years, percent"		6.00%	
"In civilian labor force, total, percent of population age 16 years+, 2012-2016"		58.60%	
"In civilian labor force, female, percent of population age 16 years+, 2012-2016"		56.10%	
"Total accommodation and food services sales, 2012 ($1,000)"	Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data		Suppressed to avoid disclosure of confidential information
"Total health care and social assistance receipts/revenue, 2012 ($1,000)"	Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data	"289,790"	
"Total manufacturers shipments, 2012 ($1,000)"	Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data		Suppressed to avoid disclosure of confidential information
"Total merchant wholesaler sales, 2012 ($1,000)"	Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data	"495,851"	
"Total retail sales, 2012 ($1,000)"	Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data	"466,032"	
"Total retail sales per capita, 2012"	Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data	"$7,062 "	
"Mean travel time to work (minutes), workers age 16 years+, 2012-2016"		21.4	
"Median household income (in 2016 dollars), 2012-2016"		"$57,683 "	
"Per capita income in past 12 months (in 2016 dollars), 2012-2016"		"$34,221 "	
"Persons in poverty, percent"		28.80%	
"Total employer establishments, 2015"			Not applicable
"Total employment, 2015"			Not applicable
"Total annual payroll, 2015 ($1,000)"			Not applicable
"Total employment, percent change, 2014-2015"			Not applicable
"Total nonemployer establishments, 2015"			Not applicable
"All firms, 2012"		"4,463"	
"Men-owned firms, 2012"		"2,172"	
"Women-owned firms, 2012"		"1,793"	
"Minority-owned firms, 2012"		986	
"Nonminority-owned firms, 2012"		"3,272"	
"Veteran-owned firms, 2012"		422	
"Nonveteran-owned firms, 2012"		"3,812"	
"Population per square mile, 2010"		"6,637.20"	
"Land area in square miles, 2010"		9.89	
FIPS Code		"""0618100"""	
